objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
coll001,20160819amk001.jpg,Tommie at a football game,,1997,"The University of St. Thomas mascot, Tommie, attending a football game, 1997. {plz update}",Tommie (Mascot),,,,,20160819amk001,,image/jpg,,In Copyright,CC BY-NC 4.0,image,/objects/20160819amk001.jpg,,,,
coll002,20160819amk002.jpg,Tommie and a child,,1984,"The College of St. Thomas mascot, Tommie holding Robert Callander, 1984.",Tommie (Mascot),,,,,20160819amk002,,image/jpg,,In Copyright,CC BY-NC 4.0,image,/objects/20160819amk002.jpg,,,,
coll003,230209mrb114_005.jpg,Tommie at a Basketball Game,Mark Brown,2023,"The University of St. Thomas mascot, Tommie, giving high fives at a basketball game, 2023.",Tommie (Mascot),,,,,230209mrb114_005,,image/jpg,,In Copyright,CC BY-NC 4.0,image,/objects/230209mrb114_005.jpg,,,,
coll004,20110722amk_010.jpg,Queen with Tommy Tiger,,1957,"Homecoming queen candidate posed with the College of St. Thomas mascot, Tommy Tiger, 1957.",Tommie (Mascot),,,,,20110722amk_010,,image/jpg,,In Copyright,CC BY-NC 4.0,image,/objects/20110722amk_010.jpg,,,,
coll005,Tommie 2024.jpg,Tommie Mascot,,2024,"The new Tommie Mascot, 2024. [Testing...123]",Tommie (Mascot),,,,,Tommie 2024,,image/jpg,,In Copyright,,image,,,,,
